site_index,k,occ_prob,true_occupancy,0,1,2,3,4,5,6,7,8,9
0,3.0,0.012731502601889367,0,-2.5281053295528046,3.055810703276879,-1.9414218760177184,0.9411192317728512,-0.20139343294304476,0.6075863694522478,-3.4519248567907352,3.170190738031081,0.26859318625522133,-2.2137109332837497
1,3.0,0.5789707093049083,0,3.156451098315868,0.21499588558606259,-1.5280956533585617,-1.5503770187323094,2.767694330918497,1.5207701699125724,-0.5712910277425737,1.0767349531279105,-4.1677932642111255,1.8755634201916265
2,3.0,0.85074671158436,0,-0.011555992375983518,-0.9349579342303295,-0.8460305980826056,2.128964186324027,-5.806735193221107,3.233780749908181,2.8510197716199013,-1.3295102375458996,1.9700357192659628,-3.400930530164871
3,3.0,0.6738690917812791,1,-2.2002876141794157,-2.6312881816289067,1.621001820423918,-2.089556747997443,-1.3784587466270333,-1.7055137291666163,2.226944215143288,-3.8423394355196794,-1.402804836498702,1.6981756992418815
4,3.0,0.9719044502352983,1,2.1013995764647357,-1.0737489112719993,-0.05838543558169195,2.7881119698507892,-0.7957348835488198,2.0382547697095434,3.7977626000913256,-0.7096992873826578,-0.774032941224078,-3.8546107709426414
5,3.0,0.06879336909154657,0,1.101513184888002,1.908711625885784,1.5655530077255049,-3.586475803897608,2.4837109927675596,3.4154937525396574,0.646306792752352,-1.9836687883518684,-2.326564744922645,-0.04267019850509746
6,3.0,0.35506278646244277,0,-3.163990584083808,-2.4862283699216334,-0.8203380474948406,-2.1101506759484394,-2.1146242852230377,-2.5682344318464376,1.8262520810336749,-2.775490681600175,0.060055526924572625,-0.9000155236230911
7,3.0,0.6896033000293725,1,0.4112662708714642,-0.9200523581345439,-0.3468259824686826,-0.4333096887567732,-0.5198696704137786,1.1325868619347805,1.981044942579702,-1.189526603734406,0.6869259568212777,-5.178645061133164
8,3.0,0.2984762027832865,0,-0.03300463749683226,-0.1321813856679823,-0.25673140837941194,-1.7911545746189845,1.1501954256899816,-0.996893410425908,-2.3106001845420563,1.8016773759901037,1.7579226131974484,-2.9898720251827067
9,3.0,0.9703896885873566,1,-0.6049874153609545,-2.1275954573812452,3.4094477049816097,1.7548523900667208,2.005120579848459,-2.0875290762845236,2.536055564595357,-0.564044502797439,0.6633607822945541,0.8741228281365572
10,3.0,0.7989078184134223,1,0.9100578184397116,-0.7598972139017867,1.5718551240677572,-0.5170656775431969,1.8642959289714343,-2.7815499265649994,-1.3171056975867874,1.4072588801112056,-1.923482607076642,1.909434583656523
11,3.0,0.5113417143516498,0,2.042602288246713,1.4774658870305006,-0.8193556512115762,1.154761457302379,0.8331599529012371,1.042903452944887,-2.9473129690279865,-1.1943929782288076,6.040991905147265,-0.6522143319866159
12,3.0,0.7085992808309942,0,-1.1440623096814155,-1.6299543247753456,1.1992885673006355,-0.7452663028332411,0.8753947615163258,1.0282159512704634,1.5163871384666734,0.8089757276000258,-3.768371110192384,0.728866395590172
13,3.0,0.19228290570997508,1,0.7695213128926208,1.6260746073922168,1.1602475694833192,-1.2117832676879228,0.4585741582329653,-2.7363182612730745,3.5494970558165844,0.8105812059940115,0.31617949049730876,0.30927710291146715
14,3.0,0.8420525395234623,1,-1.0921579744569196,-1.6997983822498193,0.946462836238972,0.7602314034053316,-1.9077930565313208,-2.2234278417802478,-0.8466140758956395,-0.3441861236903629,3.03386013962256,2.4768243156970913
15,3.0,0.8617647250205906,1,-0.7774930075780833,-0.20875657853106366,0.4570175872288339,3.86680501055738,-1.849050804668837,0.7333712469560778,1.18990850934692,4.148825237986253,-0.1286295488289348,1.0060861087584438
16,3.0,0.12934027553086647,0,-1.2779201954852148,0.7961116885318008,-0.9933600812479452,-0.3807316970287865,-1.572149090310112,-0.4864877451988212,4.3665660849384125,-2.8170746595722993,-0.8078526183744766,2.0599906743279406
